月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值(ppb),一小時值超過0.12ppm時數(時),一小時值超過0.12ppm時數(%),八小時平均值超過0.06ppm之次數(次),八小時平均值超過0.06ppm之次數(%),一小時值之最高值(ppb),一小時值之最高值(發生日),一小時值之最高值(發生時),每日一小時值最高值之月平均值(ppb)
104年10月,臭氧,大直站,2533916A0007,28,662,35.72,0,0,25,3.8,116.1,29,13,50.32
104年10月,臭氧,信義站,2534516A0004,30,679,44.44,0,0,140,20.6,113.9,12,23,60.9
104年10月,臭氧,南港站,2534116A0005,30,688,35.7,0,0,30,4.4,86.4,29,12,51.88
104年10月,臭氧,內湖站,2534216A0011,30,717,18.27,0,0,0,0,63.9,13,1,34.29
104年10月,臭氧,木柵站,2534016A0012,29,685,32.62,1,0.1,35,5.1,121.3,29,14,48.61
104年10月,臭氧,承德站,2534316T0025,28,674,25.81,0,0,12,1.8,98.8,29,13,43.23
104年10月,臭氧,中北站,2533916T0022,31,697,23.38,0,0,10,1.4,119,29,13,46.14
104年11月,臭氧,中正站,2533616A0015,30,668,28.37,0,0,14,2.1,116.5,7,12,49.8
104年11月,臭氧,大直站,2533916A0007,28,649,31.59,0,0,24,3.7,109.3,7,12,49.53
104年11月,臭氧,信義站,2534516A0004,30,680,26.44,0,0,20,2.9,104.4,7,11,44.46
104年11月,臭氧,南港站,2534116A0005,25,623,28.11,0,0,13,2.1,100.5,7,11,47.17
104年11月,臭氧,內湖站,2534216A0011,27,673,14.93,0,0,0,0,50.7,7,11,28.65
104年11月,臭氧,木柵站,2534016A0012,29,670,21.41,0,0,10,1.5,118.4,8,11,40.01
104年11月,臭氧,承德站,2534316T0025,26,636,23.22,0,0,4,0.6,83.8,7,11,42.47
104年11月,臭氧,中北站,2533916T0022,30,683,20.24,0,0,7,1,96.8,7,11,44.78
104年12月,臭氧,中正站,2533616A0015,29,662,25.24,0,0,0,0,77.7,23,13,39.34
104年12月,臭氧,大直站,2533916A0007,31,696,28.62,0,0,0,0,52.9,31,20,40.21
104年12月,臭氧,信義站,2534516A0004,31,706,27.42,0,0,0,0,59.4,23,12,39.19
104年12月,臭氧,南港站,2534116A0005,25,619,25.24,0,0,0,0,74.2,15,16,38.12
104年12月,臭氧,內湖站,2534216A0011,30,720,17.33,0,0,0,0,41.7,28,4,30.52
104年12月,臭氧,木柵站,2534016A0012,31,709,25.83,0,0,0,0,72.7,23,13,38.8
104年12月,臭氧,承德站,2534316T0025,29,668,19.89,0,0,0,0,47.4,28,4,33.21
104年12月,臭氧,中北站,2533916T0022,31,720,17.22,0,0,0,0,50.3,28,3,35.84
105年1月,臭氧,中正站,2533616A0015,30,654,20.61,0,0,0,0,52.6,19,4,35.2
105年1月,臭氧,大直站,2533916A0007,31,653,24.39,0,0,0,0,54.1,19,4,36.22
105年1月,臭氧,信義站,2534516A0004,31,662,22.59,0,0,0,0,47.7,19,4,33.96
105年1月,臭氧,南港站,2534116A0005,28,626,22.72,0,0,0,0,48.8,1,0,36.78
105年1月,臭氧,內湖站,2534216A0011,31,696,16.43,0,0,0,0,40,14,1,28.05
105年1月,臭氧,木柵站,2534016A0012,31,666,23.11,0,0,0,0,51.9,19,4,35.83
105年1月,臭氧,承德站,2534316T0025,30,642,15.1,0,0,0,0,46.2,19,3,28.68
105年1月,臭氧,中北站,2533916T0022,31,664,14.65,0,0,0,0,51.1,19,4,30.4
105年2月,臭氧,中正站,2533616A0015,29,663,27.6,0,0,0,0,65.9,6,1,45.46
105年2月,臭氧,大直站,2533916A0007,29,664,30.98,0,0,5,0.8,69.2,6,13,46.02
105年2月,臭氧,信義站,2534516A0004,29,666,26.31,0,0,0,0,58.1,6,14,39.4
105年2月,臭氧,南港站,2534116A0005,27,640,29.37,0,0,7,1.1,71.4,6,14,46.21
105年2月,臭氧,內湖站,2534216A0011,28,674,20.14,0,0,0,0,54.1,6,1,33.92
105年2月,臭氧,木柵站,2534016A0012,24,567,28.99,0,0,0,0,63.3,6,0,45.96
105年2月,臭氧,承德站,2534316T0025,29,667,21.65,0,0,0,0,61.6,6,14,40.16
105年2月,臭氧,中北站,2533916T0022,29,670,19.35,0,0,0,0,72,6,1,42.08
105年3月,臭氧,中正站,2533616A0015,28,614,26.08,0,0,3,0.5,85.1,3,12,48.44
105年3月,臭氧,大直站,2533916A0007,28,622,29.86,0,0,19,3.1,75.7,29,12,48.7
105年3月,臭氧,信義站,2534516A0004,31,663,23.64,0,0,0,0,76.5,3,14,41.82
105年3月,臭氧,南港站,2534116A0005,30,654,29.74,0,0,30,4.6,95.9,17,14,58.96
105年3月,臭氧,內湖站,2534216A0011,29,678,18.02,0,0,0,0,57.8,3,14,35.96
105年3月,臭氧,木柵站,2534016A0012,29,638,28.78,0,0,19,3,84.7,29,13,49.18
105年3月,臭氧,承德站,2534316T0025,27,628,20.98,0,0,0,0,65.7,29,12,38.72
105年3月,臭氧,中北站,2533916T0022,31,668,20.2,0,0,3,0.4,70.8,28,13,44.18
105年4月,臭氧,中正站,2533616A0015,30,652,29.07,0,0,50,7.7,109.7,29,13,66.22
